ID;Shortlist;NAZEV;NAZEV CELY;MISTO;ADRESA;STAT;STATUS;ROK;WWW;FB;LOGO;POZNAMKA;PIVO;FOTO;GPS;Y;X;VISITED;KRAJ;OKRES;ORP;OBEC
1;Pivovar (Brewery);Bašta;Sousedský pivovar Bašta;Praha - Nusle;Táborská 49, Praha 4 - Nusle;Czechia;restaurační pivovar (brewpub);2007;http://www.ubansethu.cz;https://www.facebook.com/sousedskypivovarbasta;https://goo.gl/fHxdCZ;"Rotující pípy s belgickými pivy; U Bansethů bez minipiva";Bašta;;N 50°3.77400', E 14°26.39377';50.0629;14.4398961;YES;Hlavní město Praha;Hlavní město Praha;Hlavní město Praha;Praha
2;Pivovar (Brewery);Frýdlant;Zámecký pivovar Frýdlant;Frýdlant;Hejnická 4073, Frýdlant;Czechia;minipivovar s výčepem (craftbrewery with a bar);2014;http://www.pivovar-frydlant.com;https://www.facebook.com/ZameckyPivovarFrydlant;https://goo.gl/bGyaFG;;Albrecht, Eusebius, Melchior;https://flic.kr/s/aHsmih7Qki;N 50°54.88013', E 15°5.21468';50.9146689;15.0869114;YES;Liberecký kraj;Liberec;Frýdlant;Frýdlant
3;Pivovar (Brewery);Antoš;Pivovar Antoš;Slaný;Pražská 1847, Slaný;Czechia;minipivovar (craftbrewery);2011;http://www.pivovarantos.cz;https://www.facebook.com/pivovarantos;https://goo.gl/C4esno;;Antošův, Cosa Nostra, Černé Poupě, Golem, Nezmar, Slánský Rarach, Sv. Gothard, Tlustý netopýr, Zlatý Kozák;;N 50°13.53843', E 14°6.30807';50.22564;14.10513;NO;Středočeský kraj;Kladno;Slaný;Slaný
4;Pivovar (Brewery);Bakalář;Pivovar Bakalář;Rakovník;Havlíčkova 69, Rakovník;Czechia;průmyslový pivovar (industrial brewery);2004;http://www.pivobakalar.cz;https://www.facebook.com/pivobakalar;https://goo.gl/NNQb6s;;Bakalář, Černovar, Pražačka, Rakovar;;N 50°6.38690', E 13°43.65747';50.1064483;13.7276244;NO;Středočeský kraj;Rakovník;Rakovník;Rakovník
5;Pivovar (Brewery);Balkán;Rodinný pivovar Balkán;Uherský Brod;Na Dlouhých 218, Uherský Brod;Czechia;uzavřený pivovar (closed brewery);1998 / 2013;;;https://goo.gl/EJ6UDe;Nástupcem je pivovar Hrádek (Slavičín);Zlatý Havran;https://flic.kr/s/aHskur8MoZ;N 49°1.68147', E 17°38.57945';49.0280244;17.6429908;NO;Zlínský kraj;Uherské Hradiště;Uherský Brod;Uherský Brod
6;Hospoda (Pub);Sladovna;Sladovna;Cvikov;Pivovarská 405, Cvikov - Cvikov II;Czechia;pivovarská hospoda (pub from craftbrewery);;http://pivovarcvikov.cz;https://www.facebook.com/pivovarcvikov;https://goo.gl/fDiy3Q;;Cvikov;;N 50°46.61962', E 14°38.53585';50.7769936;14.6422642;NO;Liberecký kraj;Česká Lípa;Nový Bor;Cvikov
7;Hospoda (Pub);Kurnik Šopa Hospoda;Kurnik Šopa Hospoda;Ostrava - Poruba;Pavlouskova 4457/24, Ostrava - Poruba;Czechia;multipípa (multitap);;http://www.kurniksopahospoda.cz;https://www.facebook.com/kurniksopahospoda;https://goo.gl/USxZh5;"multipípa; pivotéka";various;;N 49°50.341', E 18°9.801';49.8390258;18.1633464;NO;Moravskoslezský kraj;Ostrava-město;Ostrava;Ostrava
11;Pivovar (Brewery);Antošova krčma;Antošova krčma s pivovarem;Slaný;Vinařického 14/10, Slaný;Czechia;restaurační pivovar (brewpub);2011;http://www.pivovarantos.cz;https://www.facebook.com/pivovarantos;https://goo.gl/C4esno;;Antošův, Cosa Nostra, Černé Poupě, Golem, Nezmar, Slánský Rarach, Sv. Gothard, Tlustý netopýr, Zlatý Kozák;https://www.facebook.com/media/set/?set=a.366942153442832.1073741857.282498931887155&type=1&l=2d5c64e1bd;N 50°13.79997', E 14°5.31537';50.2299994;14.0885894;YES;Středočeský kraj;Kladno;Slaný;Slaný
12;Pivovar (Brewery);Energon;Pivovar ENERGON;Obořiště;Obořiště 53, Obořiště;Czechia;restaurační pivovar (brewpub);2013;http://www.novyrybnik.com;https://www.facebook.com/PenzionNovyRybnik;https://goo.gl/kBZGTS;;Baštýř;;N 49°44.98868', E 14°8.58662';49.7498114;14.1431103;YES;Středočeský kraj;Příbram;Dobříš;Obořiště
13;Pivovar (Brewery);U Hušků;Pivovar U Hušků;Běleč nad Orlicí;Běleč nad Orlicí 58, Běleč nad Orlicí;Czechia;restaurační pivovar (brewpub);1993;http://pivovaruhusku.webnode.cz;https://www.facebook.com/Hostinec-a-Pivovar-U-Hu%C5%A1k%C5%AF-362819800489056;https://goo.gl/d5QB3t;;Car, Carevna, Včelka;;N 50°11.83243', E 15°56.51387';50.1972072;15.9418978;YES;Královéhradecký kraj;Hradec Králové;Hradec Králové;Běleč nad Orlicí
14;Pivovar (Brewery);Belveder;Pivovar Belveder;Železná Ruda;Železná Ruda 189, Železná Ruda ;Czechia;restaurační pivovar (brewpub);2007;http://www.hotelbelveder.cz;;https://goo.gl/CgGNFr;;Belgrad, Belveder, Gradl, Kat, Kojenec, Pašerák, Švejk;;N 49°8.58822', E 13°14.37010';49.1431369;13.2395017;NO;Plzeňský kraj;Klatovy;Klatovy;Železná Ruda
15;Pivovar (Brewery);Bernard;Rodinný pivovar Bernard;Humpolec;5. května 1, Humpolec;Czechia;průmyslový pivovar (industrial brewery);1597;http://www.bernard.cz;https://www.facebook.com/bernard.cz;https://goo.gl/TFmpNQ;;Bernard;;N 49°32.40670', E 15°21.59802';49.5401117;15.3599669;YES;Kraj Vysočina;Pelhřimov;Humpolec;Humpolec
16;Pivovar (Brewery);Berounský medvěd;Rodinný pivovar Berounský medvěd;Beroun;Tyršova 135, Beroun;Czechia;restaurační pivovar (brewpub);1998;http://www.berounskymedved.com;https://www.facebook.com/Rodinný-pivovar-Berounský-medvěd-1548273045399539;https://goo.gl/ozBzoh;;Berounský medvěd, Cyklopivo, Grizzly, Honzovo medové, Klepáček, Lord, Zlatý kůň;https://www.facebook.com/media/set/?set=a.345930248877356.1073741853.282498931887155&type=1&l=de072f78de;N 49°57.40367', E 14°4.31357';49.9567278;14.0718928;YES;Středočeský kraj;Beroun;Beroun;Beroun
17;Pivovar (Brewery);Beskydský;Beskydský pivovárek;Ostravice;Ostravice 449, Ostravice;Czechia;restaurační pivovar (brewpub);2013;http://www.beskydskypivovarek.cz;https://www.facebook.com/Beskydskypivovarek;https://goo.gl/ZagdJ6;;Abel Tasman, Beskydský, Double Elephant, James Cook, Lissa huera, Smrkáč, Summer Day, Victorie, Zbuj (Beskydian bandit);https://flic.kr/s/aHsmgXPk2s;N 49°31.92337', E 18°23.69580';49.5320561;18.39493;YES;Moravskoslezský kraj;Frýdek-Místek;Frýdlant nad Ostravicí;Ostravice
